57.731,-7.7693,-22.787
56.698,-6.0958,-22.178
55.709,-4.492,-21.39
54.75,-2.9342,-20.509
53.798,-1.3887,-19.611
52.827,0.18741,-18.766
51.804,1.8471,-18.025
50.686,3.656,-17.426
49.422,5.6989,-16.987
54.42,-9.199,-24.337
53.244,-7.4576,-23.832
52.086,-5.7139,-23.245
50.949,-3.9733,-22.576
49.837,-2.2413,-21.827
48.753,-0.52273,-20.998
47.702,1.1782,-20.089
46.685,2.8576,-19.1
45.705,4.5123,-18.029
50.994,-11.325,-24.787
49.62,-9.5607,-24.394
48.222,-7.7536,-23.973
46.836,-5.9151,-23.471
45.509,-4.0653,-22.835
44.288,-2.2343,-22.022
43.228,-0.46171,-20.995
42.383,1.2036,-19.733
41.805,2.7064,-18.228
47.801,-13.947,-24.103
46.191,-12.222,-23.787
44.512,-10.433,-23.469
42.84,-8.5816,-23.066
41.264,-6.6851,-22.498
39.885,-4.7794,-21.694
38.811,-2.92,-20.602
38.148,-1.1808,-19.19
37.992,0.35301,-17.458
45.134,-16.84,-22.361
43.287,-15.213,-22.05
41.323,-13.517,-21.752
39.355,-11.731,-21.37
37.516,-9.8549,-20.815
35.959,-7.9171,-20.008
34.846,-5.9734,-18.892
34.335,-4.1076,-17.442
34.559,-2.423,-15.667
43.202,-19.779,-19.722
41.167,-18.291,-19.33
38.952,-16.744,-18.959
36.703,-15.087,-18.515
34.599,-13.294,-17.913
32.843,-11.371,-17.079
31.655,-9.3616,-15.967
31.248,-7.3499,-14.561
31.793,-5.4503,-12.887
42.129,-22.565,-16.404
40.003,-21.22,-15.849
37.602,-19.855,-15.32
35.107,-18.379,-14.733
32.742,-16.725,-14.018
30.766,-14.866,-13.12
29.466,-12.822,-12.012
29.122,-10.667,-10.705
29.952,-8.524,-9.2439
41.95,-25.044,-12.643
39.869,-23.798,-11.881
37.373,-22.62,-11.126
34.679,-21.362,-10.318
32.061,-19.902,-9.413
29.847,-18.16,-8.3916
28.408,-16.117,-7.268
28.108,-13.828,-6.0937
29.233,-11.423,-4.9515
42.635,-27.11,-8.6677
40.751,-25.87,-7.7123
38.26,-24.858,-6.6935
35.423,-23.845,-5.5877
32.569,-22.63,-4.3988
30.108,-21.058,-3.1693
28.516,-19.051,-1.9875
28.273,-16.631,-0.98318
29.749,-13.932,-0.30006
63.225,-6.7074,-5.869
62.263,-5.2834,-5.0725
61.417,-3.8228,-4.291
60.646,-2.3589,-3.5269
59.91,-0.92506,-2.7833
59.172,0.445,-2.0642
58.405,1.7181,-1.3753
57.587,2.8618,-0.72431
56.709,3.8463,-0.12049
63.121,-7.0243,-7.0316
62.012,-5.7498,-6.1962
61.091,-4.3704,-5.414
60.317,-2.9186,-4.6765
59.649,-1.4273,-3.9744
59.045,0.070885,-3.2986
58.466,1.5438,-2.6404
57.874,2.9596,-1.9923
57.239,4.2869,-1.3497
63.318,-7.0556,-8.3194
62.169,-5.8668,-7.4054
61.184,-4.5675,-6.5798
60.35,-3.1689,-5.8363
59.65,-1.6842,-5.1653
59.059,-0.12665,-4.5539
58.55,1.4924,-3.985
58.085,3.1645,-3.4371
57.624,4.8853,-2.884
63.572,-6.8421,-9.9557
62.461,-5.6689,-8.9747
61.444,-4.4332,-8.0765
60.54,-3.1116,-7.2777
59.76,-1.6832,-6.5884
59.107,-0.12815,-6.0101
58.569,1.5765,-5.5335
58.12,3.462,-5.1352
57.715,5.5763,-4.7745
63.612,-6.5038,-12.044
62.576,-5.2801,-11.041
61.564,-4.0734,-10.063
60.616,-2.8235,-9.1681
59.76,-1.4717,-8.4043
59.015,0.039852,-7.8044
58.384,1.7734,-7.3837
